audio_offset;viseme_id;body_anim;emo_value;video
50.0;0;informar;0.0;
100.0;21;informar;0.0;
162.5;14;informar;0.0;
225.0;2;informar;0.0;
287.5;19;informar;0.0;
350.0;19;informar;0.0;
387.5;16;informar;0.0;
425.0;2;informar;0.0;
487.5;2;informar;0.0;
537.5;14;informar;0.0;
587.5;19;informar;0.0;
637.5;2;informar;0.0;
675.0;19;informar;0.0;
737.5;4;informar;0.0;
787.5;13;informar;0.0;
862.5;8;informar;0.0;
900.0;17;informar;0.0;
962.5;6;informar;0.0;
1037.5;6;informar;0.0;
1081.25;6;informar;0.0;
1125.0;2;informar;0.0;
1175.0;15;informar;0.0;
1250.0;20;informar;0.0;
1312.5;8;informar;0.0;
1362.5;19;informar;0.0;
1450.0;20;informar;0.0;
1525.0;6;informar;0.0;
1587.5;19;informar;0.0;
1650.0;19;informar;0.0;
1725.0;4;informar;0.0;
1787.5;13;informar;0.0;
1850.0;4;informar;0.0;
1900.0;21;informar;0.0;
1950.0;4;informar;0.0;
2012.5;19;informar;0.0;
2062.5;6;informar;0.0;
2125.0;19;informar;0.0;
2200.0;6;informar;0.0;
2250.0;8;informar;0.0;
2312.5;19;informar;0.0;
2362.5;4;informar;0.0;
2412.5;15;informar;0.0;
2475.0;19;informar;0.0;
2525.0;4;informar;0.0;
2600.0;19;informar;0.0;
2662.5;19;informar;0.0;
2712.5;4;informar;0.0;
2762.5;6;informar;0.0;
2812.5;19;informar;0.0;
2875.0;19;informar;0.0;
2925.0;2;informar;0.0;
2987.5;15;informar;0.0;
3075.0;4;informar;0.0;
3112.5;20;informar;0.0;
3187.5;7;informar;0.0;
3275.0;19;informar;0.0;
3337.5;19;informar;0.0;
3400.0;8;informar;0.0;
3437.5;15;informar;0.0;
3600.0;0;informar;0.0;
